indicator,enable,full_name,type,overlay,parameters,output_values,description,tinting,added_date,deleted_date
cosh,False,Hyperbolic Cosine,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'cosh': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
crsi,True,ConnorsRSI,Momentum Indicators,False,"{'percent_rank_period': {'default': 100, 'min_range': 1, 'type': 'int'}, 'rsi_period': {'default': 3, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'up_down_length': {'default': 2, 'min_range': 1, 'type': 'int'}}","{'crsi': {'default_color': '#9F87AF', 'display': 'line', 'max_range': 100, 'min_range': 0}}",ConnorsRSI(CRSI) is used to show the oversold and overbought levels of the RSI values.,"{'area': {'color': '#b486ab', 'display': 'fill', 'lower_bound': 30, 'transparency': 0.5, 'upper_bound': 70}}",2023-09-25,
dema,True,Double Exponential Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'dema': {'default_color': '#4e7252', 'display': 'line'}}",Double Exponential Moving Average(DEMA) is used to eliminate lag. It does this by taking two Exponential Moving Averages(EMA).,,2023-09-25,
div,True,Arithmetic Division,Math Operators,False,"{'series_type_1': {'default': 'open', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'series_type_2': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'div': {'default_color': '#000000', 'display': 'line'}}",Division of values of two specified time series.,,2023-09-25,
dpo,True,Detrended Price Oscillator,Overlap Studies,False,"{'centered': {'default': False, 'type': 'bool'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 21, 'min_range': 1, 'type': 'int'}}","{'dpo': {'default_color': '#4e7252', 'display': 'line'}}","Detrended Price Oscillator(DPO) is used to separate price from the trend, in order to more clearly identify the length of cycles.",,2023-09-25,
dx,True,Directional Movement Index,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'dx': {'default_color': '#000000', 'display': 'line'}}",Directional Movement Index(DX) identifies which direction the price is moving.,,2023-09-25,
ema,True,Exponential Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'ema': {'default_color': '#2708A0', 'display': 'line'}}",Exponential Moving Average(EMA) places greater importance on recent data points than the normal Moving Average(MA).,,2023-09-25,
exp,True,Exponential,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'exp': {'default_color': '#000000', 'display': 'line'}}",Exponential(EXP) transforms input data with the mathematical exponent function.,,2023-09-25,
floor,True,Vector FLOOR,Math Transform,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'floor': {'default_color': '#000000', 'display': 'line'}}",Vector FLOOR(FLOOR) transforms input data with the mathematical floor function.,,2023-09-25,
heikinashicandles,True,Heikin-Ashi Candles,Candles,True,{},"{'heikincloses': {'display': 'candle'}, 'heikinhighs': {'display': 'candle'}, 'heikinlows': {'display': 'candle'}, 'heikinopens': {'display': 'candle'}}","Heikin-Ashi Candles(HEIKINASHICANDLES) translated from Japanese means ""average bar"". It can be used to detect market trends and predict future price fluctuations.",,2023-09-25,
hlc3,True,"High, Low, Close Average Values",Candles,True,{},{'hlc3': {'display': 'line'}},"High, Low, Close Average Values(HLC3) give alternative candlesticks patter. Every element is defined as follows: (high + low + close) / 3.",,2023-09-25,
ht_dcperiod,True,Hilbert Transform Dominant Cycle Period,Cycle Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ht_dcperiod': {'default_color': '#000000', 'display': 'line'}}",Hilbert Transform Dominant Cycle Period(HT_DCPERIOD) is part of Hilbert Transforms concepts. You can read more about it in the Rocket Science for Traders book by John F. Ehlers.,,2023-09-25,
ht_dcphase,True,Hilbert Transform Dominant Cycle Phase,Cycle Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ht_dcphase': {'default_color': '#000000', 'display': 'line'}}",Hilbert Transform Dominant Cycle Phase(HT_DCPHASE) is part of Hilbert Transforms concepts. You can read more about it in the Rocket Science for Traders book by John F. Ehlers.,,2023-09-25,
ht_phasor,True,Hilbert Transform Phasor Components,Cycle Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'in_phase': {'default_color': '#F2710E', 'display': 'line'}, 'quadrature': {'default_color': '#4787FF', 'display': 'line'}}",Hilbert Transform Phasor Components(HT_PHASOR) is part of Hilbert Transforms concepts. You can read more about it in the Rocket Science for Traders book by John F. Ehlers.,,2023-09-25,
ht_sine,True,Hilbert Transform SineWave,Cycle Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ht_leadsine': {'default_color': '#45A89B', 'display': 'line'}, 'ht_sine': {'default_color': '#B80C09', 'display': 'line'}}",Hilbert Transform SineWave(HT_SINE) is part of Hilbert Transforms concepts. You can read more about it in the Rocket Science for Traders book by John F. Ehlers.,,2023-09-25,
ht_trendline,True,Hilbert Transform Instantaneous Trendline,Overlap Studies,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ht_trendline': {'default_color': '#000000', 'display': 'line', 'max_range': 100, 'min_range': -100}}",Hilbert Transform Instantaneous Trendline(HT_TRENDLINE) comes from the concept of Digital Signal Processing (DSP). It creates complex signals from the simple chart data. You can read more about it in the Rocket Science for Traders book by John F. Ehlers.,,2023-09-25,
ht_trendmode,True,Hilbert Transform Trend vs Cycle Mode,Cycle Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ht_trendmode': {'default_color': '#000000', 'display': 'line', 'max_range': 1, 'min_range': 0}}",Hilbert Transform Trend vs. Cycle Mode(HT_TRENDMODE) is part of Hilbert Transforms concepts. You can read more about it in the Rocket Science for Traders book by John F. Ehlers.,,2023-09-25,
ichimoku,True,Ichimoku Kinkō Hyō,Overlap Studies,True,"{'base_line_period': {'default': 26, 'min_range': 1, 'type': 'int'}, 'conversion_line_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'include_ahead_span_period': {'default': True, 'type': 'bool'}, 'lagging_span_period': {'default': 26, 'min_range': 1, 'type': 'int'}, 'leading_span_b_period': {'default': 52, 'min_range': 1, 'type': 'int'}}","{'chikou_span': {'default_color': '#CD7F32', 'display': 'line'}, 'kijun_sen': {'default_color': '#B80C09', 'display': 'line'}, 'senkou_span_a': {'default_color': '#87A878', 'display': 'line'}, 'senkou_span_b': {'default_color': '#B80C09', 'display': 'line'}, 'tenkan_sen': {'default_color': '#2708A0', 'display': 'line'}}","Ichimoku Kinkō Hyō(ICHIMOKU) is a group of technical indicators that shows trend direction, momentum, and support & resistance levels. Overall it tends to improve the accuracy of forecasts.","{'area': {'color': '#87A878', 'display': 'fill', 'lower_bound': 'senkou_span_b', 'transparency': 0.5, 'upper_bound': 'senkou_span_a'}}",2023-09-25,
kama,True,Kaufman's Adaptive Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'kama': {'default_color': '#000000', 'display': 'line'}}",Kaufman's Adaptive Moving Average(KAMA) is a type of Moving Average(MA) that incorporates market noise and volatility.,,2023-09-25,
keltner,True,Keltner Channels,Overlap Studies,True,"{'atr_time_period': {'default': 10, 'min_range': 1, 'type': 'int'}, 'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'multiplier': {'default': 2, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 20, 'min_range': 1, 'type': 'int'}}","{'lower_line': {'default_color': '#4787FF', 'display': 'line'}, 'middle_line': {'default_color': '#4787FF', 'display': 'line'}, 'upper_line': {'default_color': '#4787FF', 'display': 'line'}}",Keltner Channels(KELTNER) is a volatility indicator used to spot trend changes and accelerations.,"{'area': {'color': '#4787FF', 'display': 'fill', 'lower_bound': 'lower_band', 'transparency': 0.5, 'upper_bound': 'upper_band'}}",2023-09-25,
kst,True,Know Sure Thing,Momentum Indicators,False,"{'roc_period_1': {'default': 10, 'min_range': 1, 'type': 'int'}, 'roc_period_2': {'default': 15, 'min_range': 1, 'type': 'int'}, 'roc_period_3': {'default': 20, 'min_range': 1, 'type': 'int'}, 'roc_period_4': {'default': 30, 'min_range': 1, 'type': 'int'}, 'signal_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'sma_period_1': {'default': 10, 'min_range': 1, 'type': 'int'}, 'sma_period_2': {'default': 10, 'min_range': 1, 'type': 'int'}, 'sma_period_3': {'default': 10, 'min_range': 1, 'type': 'int'}, 'sma_period_4': {'default': 15, 'min_range': 1, 'type': 'int'}}","{'kst': {'default_color': '#87A878', 'display': 'line'}, 'kst_signal': {'default_color': '#B80C09', 'display': 'line'}}",Know Sure Thing(KST) calculates price momentum for four distinct price cycles(ROC).,,2023-09-25,
linearreg,True,Linear Regression,Statistic Functions,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'linearreg': {'default_color': '#000000', 'display': 'line'}}",Linear Regression(LINEARREG) is used to determine trend direction by a straight line.,,2023-09-25,
linearregangle,True,Linear Regression Angle,Statistic Functions,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'linearregangle': {'default_color': '#000000', 'display': 'line'}}",Linear Regression Angle(LINEARREGANGLE) calculates the angle of the linear regression trendline.,,2023-09-25,
linearregintercept,True,Linear Regression Intercept,Statistic Functions,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'linearregintercept': {'default_color': '#000000', 'display': 'line'}}",Linear Regression Intercept(LINEARREGINTERCEPT) calculates the intercept for the linear regression trendline for each data point.,,2023-09-25,
linearregslope,True,Linear Regression Slope,Statistic Functions,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'linearregslope': {'default_color': '#000000', 'display': 'line'}}",Linear Regression Slope(LINEARREGSLOPE) calculates the slope for the linear regression trendline for each data point.,,2023-09-25,
ln,True,Natural Logarithm to the base of constant e,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ln': {'default_color': '#000000', 'display': 'line', 'min_range': 0}}",Natural Logarithm to the base of constant e(LN) transforms all data points with natural logarithm.,,2023-09-25,
log10,True,Logarithm to base 10,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'log10': {'default_color': '#000000', 'display': 'line', 'min_range': 0}}",Logarithm to base 10(LOG10) transforms all data points with logarithm to base 10.,,2023-09-25,
ma,True,Moving Average,Overlap Studies,True,"{'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'ma': {'default_color': '#2708A0', 'display': 'line'}}",Moving Average(MA) is used to smooth out price fluctuations and get rid of market noise.,,2023-09-25,
macd,True,Moving Average Convergence Divergence,Momentum Indicators,False,"{'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'signal_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}}","{'macd': {'default_color': '#2708A0', 'display': 'line'}, 'macd_hist': {'default_color': '#B80C09', 'display': 'histogram'}, 'macd_signal': {'default_color': '#B80C09', 'display': 'line'}}","Moving Average Convergence Divergence(MACD) is a trend following momentum indicator, which works by subtracting the longer moving average from the shorter one. MACD has an unstable period ~ 100.",,2023-09-25,
macd_slope,True,Moving Average Convergence Divergence Regression Slope,Momentum Indicators,False,"{'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'signal_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'macd_hist_slope': {'default_color': '#87A878', 'display': 'line'}, 'macd_signal_slope': {'default_color': '#B80C09', 'display': 'line'}, 'macd_slope': {'default_color': '#2708A0', 'display': 'line'}}","Moving Average Convergence Divergence Regression Slope(MACD_SLOPE) shows slopes of macd line, signal line, and histogram. A negative and rising slope shows improvement within a downtrend. A positive and falling slope shows deterioration within an uptrend. MACD has an unstable period of ~ 100.",,2023-09-25,
macdext,True,Moving Average Convergence Divergence Extended,Momentum Indicators,False,"{'fast_ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'signal_ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'signal_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'slow_ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}}","{'macd': {'default_color': '#2708A0', 'display': 'line'}, 'macd_hist': {'default_color': '#B80C09', 'display': 'histogram'}, 'macd_signal': {'default_color': '#B80C09', 'display': 'line'}}",Moving Average Convergence Divergence Extended(MACDEXT) gives greater control over MACD input parameters. MACDEXT has an unstable period ~ 100.,,2023-09-25,
mama,True,MESA Adaptive Moving Average,Overlap Studies,True,"{'fast_limit': {'default': 0.5, 'max_range': 0.99, 'min_range': 0.01, 'type': 'float'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'slow_limit': {'default': 0.05, 'max_range': 0.99, 'min_range': 0.01, 'type': 'float'}}","{'fama': {'default_color': '#4787FF', 'display': 'line'}, 'mama': {'default_color': '#F2710E', 'display': 'line'}}",MESA Adaptive Moving Average(MAMA) adapts to price fluctuations based on the rate of change of the Hilbert Transform Discriminator. More about MAMA can be read [here](http://www.mesasoftware.com/papers/MAMA.pdf).,,2023-09-25,
mavp,False,Moving Average with variable period,Overlap Studies,True,"{'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'max_period': {'default': 'none'}, 'min_period': {'default': 'none'}, 'periods': {'default': 'none'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'mavp': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
max,True,Highest value over period,Math Operators,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'max': {'default_color': '#000000', 'display': 'line'}}",Highest value over period(MAX).,,2023-09-25,
maxindex,True,Index of highest value over period,Math Operators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'maxidx': {'default_color': '#000000', 'display': 'line'}}",Index of highest value over period(MAXINDEX).,,2023-09-25,
mcginley_dynamic,True,McGinley Dynamic,Overlap Studies,True,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'mcginley_dynamic': {'default_color': '#000000', 'display': 'line'}}",McGinley Dynamic(MCGINLEY_DYNAMIC) keeps all the benefits from the moving averages but adds an adjustment to market speed.,,2023-09-25,
medprice,True,Median Price,Price Transform,True,{},"{'medprice': {'default_color': '#000000', 'display': 'line'}}",Median Price(MEDPRICE).,,2023-09-25,
mfi,True,Money Flow Index,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'mfi': {'default_color': '#4e7252', 'display': 'line', 'max_range': 100, 'min_range': 0}}","Money Flow Index(MFI) is used to identify overbought and oversold levels in an asset. In some cases, it can be used to detect divergences, which might be a sign of upcoming trend changes.","{'area': {'color': '#ECC6F4', 'display': 'fill', 'lower_bound': 20, 'transparency': 0.5, 'upper_bound': 80}}",2023-09-25,
midpoint,True,MidPoint over period,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'midpoint': {'default_color': '#000000', 'display': 'line'}}",MidPoint over period(MIDPOINT) is calculated as (highest value + lowest value) / 2.,,2023-09-25,
midprice,True,Midpoint Price over period,Overlap Studies,True,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'midprice': {'default_color': '#000000', 'display': 'line'}}",Midpoint Price over period(MIDPRICE) is calculated as (highest high + lowest low) / 2.,,2023-09-25,
min,True,Lowest value over period,Math Operators,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'min': {'default_color': '#000000', 'display': 'line'}}",Lowest value over period(MIN).,,2023-09-25,
minindex,True,Index of lowest value over period,Math Operators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'minidx': {'default_color': '#000000', 'display': 'line'}}",Index of lowest value over period(MININDEX).,,2023-09-25,
minmax,True,Lowest and highest values over period,Math Operators,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'max': {'default_color': '#45A89B', 'display': 'line'}, 'min': {'default_color': '#B80C09', 'display': 'line'}}",Lowest and highest values over period(MINMAX).,,2023-09-25,
